,AGE,Urea,Cr,HbA1c,Chol,TG,HDL,LDL,VLDL,BMI,Class_N,Class_P,Class_Y
AGE,1.0,0.1127381758109941,0.047202329515253216,0.35089558823777217,0.0380058837343449,0.14272304310383568,-0.03883151912905392,0.012442020661663576,0.07419423457750518,0.30290078571050244,-0.29431714658593017,-0.23779823965874727,0.3933663364573878
Urea,0.1127381758109941,1.0,0.48334970871220384,0.013794091919417573,-0.015024210666205429,0.03032250982066973,-0.03965107736414346,-0.016561790658734966,-0.03295995132677347,0.04602967447034689,-0.058207836657984305,-0.03646613560413548,0.0712747504195382
Cr,0.047202329515253216,0.48334970871220384,1.0,-0.08239102392923925,-0.005045420802826575,0.050818166995963934,-0.07358157472617585,0.07892175414149938,0.0017125541126880907,0.019496003191265352,-0.04521334187140855,0.006040760284609927,0.03414491309569835
HbA1c,0.35089558823777217,0.013794091919417573,-0.08239102392923925,1.0,0.11437507215485777,0.1958686523058609,-0.020003908651349534,-0.0408971333843586,0.20523065614125233,0.405791910365902,-0.48005380256166236,-0.2564637910763149,0.5604798027252617
Chol,0.0380058837343449,-0.015024210666205429,-0.005045420802826575,0.11437507215485777,1.0,0.3698368107072303,0.1142723612173915,0.42680373596922966,0.25132523780674504,0.0007604466668221016,-0.17942994096465428,-0.030555076576530293,0.1691712275306481
TG,0.14272304310383568,0.03032250982066973,0.050818166995963934,0.1958686523058609,0.3698368107072303,1.0,-0.1166608702995028,0.07159562987110872,0.6599063219241862,0.0969054876674793,-0.256408116652388,-0.02976571249033683,0.23316740792047022
HDL,-0.03883151912905392,-0.03965107736414346,-0.07358157472617585,-0.020003908651349534,0.1142723612173915,-0.1166608702995028,1.0,-0.15320203396591933,-0.057755328648228965,0.014212179881512275,0.0064587086742986495,-0.011559232092544728,0.0017265093445626028
LDL,0.012442020661663576,-0.016561790658734966,0.07892175414149938,-0.0408971333843586,0.42680373596922966,0.07159562987110872,-0.15320203396591933,1.0,-0.00036436776930593486,-0.13615792690243733,0.023577043344135185,-0.004619501477110146,-0.016897997472272417
VLDL,0.07419423457750518,-0.03295995132677347,0.0017125541126880907,0.20523065614125233,0.25132523780674504,0.6599063219241862,-0.057755328648228965,-0.00036436776930593486,1.0,0.15440294256261394,-0.21364719009326844,-0.045254810913425904,0.2069104246382911
BMI,0.30290078571050244,0.04602967447034689,0.019496003191265352,0.405791910365902,0.0007604466668221016,0.0969054876674793,0.014212179881512275,-0.13615792690243733,0.15440294256261394,1.0,-0.4793527977837997,-0.2693952108852917,0.56787667423727
Class_N,-0.29431714658593017,-0.058207836657984305,-0.04521334187140855,-0.48005380256166236,-0.17942994096465428,-0.256408116652388,0.0064587086742986495,0.023577043344135185,-0.21364719009326844,-0.4793527977837997,1.0,-0.08016509953370964,-0.7881907158310077
Class_P,-0.23779823965874727,-0.03646613560413548,0.006040760284609927,-0.2564637910763149,-0.030555076576530293,-0.02976571249033683,-0.011559232092544728,-0.004619501477110146,-0.045254810913425904,-0.2693952108852917,-0.08016509953370964,1.0,-0.5502649738443333
Class_Y,0.3933663364573878,0.0712747504195382,0.03414491309569835,0.5604798027252617,0.1691712275306481,0.23316740792047022,0.0017265093445626028,-0.016897997472272417,0.2069104246382911,0.56787667423727,-0.7881907158310077,-0.5502649738443333,1.0
